Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,Fisher norm,gradient norm of local entropy,Classical Entropy,Trace,Low pass filter
15,0.0,4,0.0005,0.01,32,False,True,0.009874914772808552, 23.128005981445312,49.57763197187645,32308737.50989812,374.4559803902189,269.6311950683594,0.01003231666982174,0.02792935073375702,1317.281270647687,1.0362703683972359,
16,0.0,6,0.0005,0.01,32,False,True,0.007375969085842371, 21.850006103515625,50.646060337331456,62517429.45623655,307.2029306907732,279.4248962402344,0.014477726072072983,0.021902963519096375,1181.9016786363886,1.6607242459058762,
17,0.0,8,0.0005,0.01,32,False,True,0.008262609131634235, 21.116004943847656,47.41609590796197,98781694.43221326,397.25460192425714,304.24267578125,0.01902950182557106,0.026001829653978348,1420.666625599359,3.1759870660305025,
18,0.5,4,0.0,0.01,32,True,True,0.00827841553837061, 24.222000122070312,49.51780926048526,32459459.140257984,334.6313503319735,136.26931762695312,0.010059604421257973,0.020255982875823975,1076.6197031778909,0.8589851552248001,
19,0.5,6,0.0,0.01,32,True,True,0.003915219567716122, 22.331993103027344,38.50900882581307,54125621.838415,195.42565722033532,85.05532836914062,0.014413690194487572,0.013298040255904198,627.7894245200617,1.3209809747338295,
20,0.5,8,0.0,0.01,32,True,True,0.00955587811768055, 21.71399688720703,49.69587078281312,100883856.095372,371.93449103975286,123.1488037109375,0.01924777217209339,0.02113441750407219,1135.1647383977722,1.6347290420532226,
21,0.5,4,0.0001,0.01,32,True,True,0.004298289772123098, 22.495994567871094,30.971243587661974,28604139.90152293,157.99195860668036,69.3065185546875,0.009747490286827087,0.013832309283316135,569.664693367742,0.7406828400492668,
22,0.5,6,0.0001,0.01,32,True,True,0.008924979716539383, 22.60199737548828,45.969669559786965,63515797.017518304,354.4738728912189,190.0679473876953,0.014625604264438152,0.023088891059160233,1134.4354608626181,1.2377296060323715,
23,0.5,8,0.0001,0.01,32,True,True,0.0063544572331011295, 21.802001953125,34.79791249050738,84248780.4731164,233.49965705274602,117.7726821899414,0.019122306257486343,0.016325414180755615,834.4710143107217,1.524429233968258,
24,0.5,4,0.0005,0.01,32,True,True,0.00421019596979022, 22.363998413085938,28.398282943737293,18643053.41530121,94.68288458223323,57.698768615722656,0.009677737019956112,0.016687678173184395,315.74277348386363,0.2832072648406029,
25,0.5,6,0.0005,0.01,32,True,True,0.005221736151725054, 21.98400115966797,36.58593806857287,42877596.314935975,144.61545857678908,81.26177978515625,0.01444944553077221,0.017111482098698616,521.2360673090575,0.7201784330606461,
26,0.5,8,0.0005,0.01,32,True,True,0.004209131933748722, 21.246002197265625,36.80176086509612,66298153.86507209,132.38532036020837,62.4278450012207,0.019039805978536606,0.014216438867151737,462.0622361977456,1.016447929739952,
27,0.5,4,0.0,0.01,32,False,True,0.008548026904463768, 20.996002197265625,43.61213400222166,27228545.434679285,276.68745058730076,312.18829345703125,0.009972607716917992,0.02087792009115219,1024.8053223179618,0.7891661751270295,
