exp_num,width,batchnorm,skip,opt,epoch,lr,wd,bs,mo,lrdecay,trainloss,trainerr,valloss,valerr,flatness,div
938,8, True, True, sgd,250,0.05,0,64,0.5, False,0.500909151,5.238000054,1.984381771,24.29,0.032588544,2.702191663
393,4, True, False, sgd,250,0.005,0.01,3.20E+01,0, False,0.178711696,4.874000083,0.627900849,17.85,0.012787148,2.738567217
930,4, True, False, sgd,250,0.05,0.0001,6.40E+01,0, False,0.163346443,4.734000059,1.079943332,22.18,0.016082753,2.153657906
737,8, True, False, sgd,250,0.005,0.01,64,0.5, False,0.160812404,4.33599998,0.642443175,18.06,0.011427158,2.511032658
948,4, True, False, sgd,250,0.05,0.0001,64,0.5, False,0.127058779,4.284000059,0.769542895,20.05,0.023285311,2.267876522
412,6, True, False, sgd,250,0.005,0.01,3.20E+01,0.5, False,0.163025357,4.200000059,0.527490107,15.78,0.0214842,2.223550414
404,8, True, True, sgd,250,0.005,0.01,3.20E+01,0.5, False,0.153733769,4.158000034,0.553688162,16.89,0.013921934,2.182208721
70,6, True, False, sgd,250,0.005,0.01,16,0, False,0.156529888,3.962000088,0.519639102,15.87,0.020393707,2.328885244
62,8, True, True, sgd,250,0.005,0.01,1.60E+01,0, False,0.144519168,3.884000059,0.541725018,16.55,0.01382605,2.151761464
736,6, True, False, sgd,250,0.005,0.01,64,0.5, False,0.143571661,3.72000001,0.594291847,17.19,0.015495856,2.80158241
403,6, True, True, sgd,250,0.005,0.01,3.20E+01,0.5, False,0.142990348,3.706000061,0.515365957,15.98,0.019936155,2.514858202
61,6, True, True, sgd,250,0.005,0.01,1.60E+01,0, False,0.142761893,3.69799998,0.515799751,16.03,0.020312444,2.340609141
817,6, True, True, sgd,250,0.01,0.01,64,0, False,0.123861979,3.47400001,0.58262402,17.27,0.010627126,2.669622688
60,4, True, True, sgd,250,0.005,0.01,1.60E+01,0, False,0.131022324,3.435999988,0.485035264,15.08,0.020428907,2.107974537
492,4, True, True, sgd,250,0.01,0.01,32,0, False,0.134904061,3.388000015,0.482451973,15,0.022936784,2.251290722
1356,4, False, True, sgd,250,0.005,0.01,3.20E+01,0, False,0.104432402,3.174000068,1.14353609,28.53,0.023567685,2.14385594
494,8, True, True, sgd,250,0.01,0.01,32,0, False,0.123025269,2.984000066,0.520964461,15.8,0.015331827,2.133295357
708,4, True, True, sgd,250,0.005,0.01,6.40E+01,0, False,0.116976171,2.891999963,0.666451539,18.51,0.014714653,5.279286339
1699,6, False, True, sgd,250,0.005,0.01,64,0.5, False,0.083935073,2.464000066,1.327099512,31.95,0.019853486,2.150580866
719,8, True, False, sgd,250,0.005,0.01,64,0, False,0.102986185,2.39800009,0.666368225,17.67,0.009474068,2.598441373
394,6, True, False, sgd,250,0.005,0.01,32,0, False,0.092968781,2.078000044,0.549595774,15.4,0.014162863,2.612701154
917,8, True, False, sgd,250,0.05,0.01,6.40E+01,0.9, True,0.171961029,2.078000042,0.939350006,29.49,0.006303351,2.464436307
395,8, True, False, sgd,250,0.005,0.01,32,0, False,0.085975932,1.827999993,0.536462411,15.08,0.011935605,2.187093663
704,8, True, True, sgd,250,0.005,0,6.40E+01,0, False,0.061287572,1.626000071,2.296917866,35.34,0.016304162,19.53663152
384,4, True, True, sgd,250,0.005,0.01,32,0, False,0.066579727,1.316000071,0.504919646,14.87,0.012420956,2.634320523
717,4, True, False, sgd,250,0.005,0.01,64,0, False,0.069527971,1.279999998,0.582241915,15.75,0.010566762,3.19945909
718,6, True, False, sgd,250,0.005,0.01,64,0, False,0.063931527,1.128000022,0.584088975,15.9,0.006127262,2.297849795
812,8, True, True, sgd,250,0.01,0,6.40E+01,0, False,0.03416421,1.061999971,1.979111818,31.3,0.00823065,5.312676121
818,8, True, True, sgd,250,0.01,0.01,6.40E+01,0, False,0.054091651,0.969999971,0.505737514,14.87,0.013386623,2.280548193
906,4, True, True, sgd,250,0.05,0.01,64,0.9, True,0.067923751,0.535999973,0.805997583,22.9,0.007366851,3.318625367
908,8, True, True, sgd,250,0.05,0.01,64,0.9, True,0.045272883,0.290000051,0.775370641,21.9,0.009913915,4.601405835
907,6, True, True, sgd,250,0.05,0.01,64,0.9, True,0.041384129,0.244000076,0.869828835,24.46,0.004940092,2.136807347
915,4, True, False, sgd,250,0.05,0.01,6.40E+01,0.9, True,0.033474797,0.136,0.822830364,22.95,0.010277463,2.362796031
1878,4, False, True, sgd,250,0.05,0.01,64,0.9, True,0.031281462,0.101999973,4.24944542,51.5,0.007510167,2.121745583
705,4, True, True, sgd,250,0.005,0.0001,64,0, False,0.00312791,0.075999973,2.003654309,33,0.002776573,3.329458824
916,6, True, False, sgd,250,0.05,0.01,64,0.9, True,0.025823686,0.038,0.780456174,22.42,0.008856476,2.130790444
7,6, True, True, sgd,250,0.005,0.01,1.60E+01,0, True,0.020329921,0.004,0.357964201,10.49,0.005986563,2.505362441
6,4, True, True, sgd,250,0.005,0.01,1.60E+01,0, True,0.019805497,0.002,0.378216337,11.26,0.006627856,3.203165192
