Experiment No,momentum,width,weight_decay,learning rate,batch_size,skip connection,batch normalization,train_loss,generalization gap,$\epsilon$ sharpness,Pac Bayes,$||H||_{F}$,FRN,Classical Entropy,Local Entropy,Tr(H),Low pass filter
88,0.9,4,0.0001,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
89,0.9,4,0.0005,0.0075,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
90,0.0,4,0.0,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
91,0.0,4,0.0001,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
92,0.0,4,0.0005,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
93,0.0,4,0.0,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
94,0.0,4,0.0001,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
95,0.0,4,0.0005,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
96,0.5,4,0.0,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
97,0.5,4,0.0001,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
98,0.5,4,0.0005,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
99,0.5,4,0.0,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
100,0.5,4,0.0001,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
101,0.5,4,0.0005,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
102,0.9,4,0.0,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
103,0.9,4,0.0001,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
104,0.9,4,0.0005,0.005,128,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
105,0.9,4,0.0,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
106,0.9,4,0.0001,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
107,0.9,4,0.0005,0.005,128,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
108,0.0,4,0.0,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
109,0.0,4,0.0001,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
110,0.0,4,0.0005,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
111,0.0,4,0.0,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
112,0.0,4,0.0001,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
113,0.0,4,0.0005,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
114,0.5,4,0.0,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
115,0.5,4,0.0001,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
116,0.5,4,0.0005,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
117,0.5,4,0.0,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
118,0.5,4,0.0001,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
119,0.5,4,0.0005,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
120,0.9,4,0.0,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
121,0.9,4,0.0001,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
122,0.9,4,0.0005,0.01,512,True,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
123,0.9,4,0.0,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
124,0.9,4,0.0001,0.01,512,False,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,
